"percent_total","request","type","domain","owner","owner_country","owner_lineage"
"3.47","https://ups.analytics.yahoo.com/ups/58292/sync","image","yahoo.com","Yahoo","US","Yahoo > Verizon Media > Verizon"
"3.47","https://ups.analytics.yahoo.com/ups/58488/occ","image","yahoo.com","Yahoo","US","Yahoo > Verizon Media > Verizon"
"3.47","https://widgets.wp.com/languages/de-v1.1.json","xhr","wp.com","Wordpress","US","Wordpress > Automattic"
"3.47","https://widgets.wp.com/likes/master.html","document","wp.com","Wordpress","US","Wordpress > Automattic"
"3.47","https://widgets.wp.com/likes/style.css","stylesheet","wp.com","Wordpress","US","Wordpress > Automattic"
"3.47","https://www.youtube.com/s/player/72d3c60a/player_ias.vflset/de_DE/base.js","script","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"3.47","https://www.youtube.com/s/player/72d3c60a/player_ias.vflset/de_DE/embed.js","script","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"3.47","https://x.bidswitch.net/ul_cb/sync","image","bidswitch.net","Bidswitch","US","Bidswitch > IPONWEB"
"2.78","https://a.audrte.com/match","image","audrte.com","","",""
"2.78","https://a.audrte.com/p","image","audrte.com","","",""
"2.78","https://a.teads.tv/analytics/tag.js","script","teads.tv","Teads","US","Teads > Altice SA"
"2.78","https://a.tribalfusion.com/i.match","document","tribalfusion.com","Tribal Fusion","US","Tribal Fusion > Exponential Advertising Intelligence"
"2.78","https://ad.360yield.com/match","image","360yield.com","Improve Digital","NL","Improve Digital > Azerion"
"2.78","https://ad.360yield.com/pb","xhr","360yield.com","Improve Digital","NL","Improve Digital > Azerion"
"2.78","https://ads.playground.xyz/usersync/apn","image","playground.xyz","","",""
"2.78","https://ads.themoneytizer.com/moneybile.js","script","themoneytizer.com","","",""
"2.78","https://ads.themoneytizer.com/s/gen.js","script","themoneytizer.com","","",""
"2.78","https://ads.themoneytizer.com/s/requestform.js","script","themoneytizer.com","","",""
"2.78","https://adtrack.adleadevent.com/notifyme.php","xhr","adleadevent.com","","",""
"2.78","https://ajax.googleapis.com/ajax/libs/jquery/3.0.0/jquery.min.js","script","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet"
"2.78","https://ap.lijit.com/pixel","image","lijit.com","Sovrn","US","Sovrn > Federated Media"
"2.78","https://aud.pubmatic.com/AdServer/Artemis","image","pubmatic.com","PubMatic","US","PubMatic"
"2.78","https://beacon.krxd.net/usermatch.gif","image","krxd.net","Salesforce DMP","US","Salesforce DMP > Salesforce"
"2.78","https://beacon.walmart.com/etap.gif","image","walmart.com","Walmart","US","Walmart"
"2.78","https://bh.contextweb.com/bh/rtset","document","contextweb.com","PulsePoint","US","PulsePoint"
"2.78","https://c.tmyzer.com/c/","xhr","tmyzer.com","","",""
"2.78","https://c0.pubmine.com/2.36.71660581586862/3.js","script","pubmine.com","","",""
"2.78","https://c0.pubmine.com/2.36.71660581586862/ata.js","script","pubmine.com","","",""
"2.78","https://ced.sascdn.com/tag/1097/smart.js","script","sascdn.com","Smart AdServer","FR","Smart AdServer"
"2.78","https://cm.adform.net/cookie","document","adform.net","AdForm","DK","AdForm"
"2.78","https://cm.adgrx.com/bridge","document","adgrx.com","AdGear","CA","AdGear > Samsung"
"2.78","https://cm.g.doubleclick.net/pixel","document","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"2.78","https://cms.analytics.yahoo.com/cms","image","yahoo.com","Yahoo","US","Yahoo > Verizon Media > Verizon"
"2.78","https://contextual.media.net/checksync.php","document","media.net","Media.net","US","Media.net"
"2.78","https://core.iprom.net/cookiesync","document","iprom.net","","",""
"2.78","https://cr.frontend.weborama.fr/cr","image","weborama.fr","Weborama","FR","Weborama"
